Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
1709 - Kab. Bengkulu Tengah;87;134;112;78;67;43;13.5;12;7.2;10.5;12;3.7;2;0;0;85;127;107;76;64;39;13.12042195;12.2388364;7.2;12.1;22.5;5.1;4;0;0;9.73;9.48;9.55;9.74;9.53;0;9.718831077;10.19903033;0;0;0;0;0;0;0
1771 - Kota Bengkulu;14;15;2;0;0;0;0;1;0;0;0;3;0;0;0;14;14;2;0;0;0;0;0;0;0;0;1.9;0;0;0;9.85;9.33;10;0;0;9.07;0;0;0;0;0;0;0;0;0
1801 - Kab. Lampung Barat;98;101;94;7;19;9;2;0;0;31;7;5;0;0;0;88;82;84;7;17;8;2;0;0;30.723;6.5;0.2;0;0;0;8.98;8.12;8.94;10;8.95;8.89;10;0;0;9.910645161;9.285714286;0.4;0;0;0
1802 - Kab. Tanggamus;274;274;199;166;237;123;102.2;39.7;55.5;75.4;104;105;48.8;0;0;245;224;179;149;213;110;92;0;397;72.8447;142;108.8;42.1;0;0;8.94;8.18;8.99;8.98;8.99;8.94;9.019607843;0;71.53153153;9.661100796;13.65384615;10.36190476;8.62704918;0;0
1803 - Kab. Lampung Selatan;314;457;404;331;289;147;137.6;108.2;86.2;82.2;66.6;38.9;33.8;0;0;280;404;363;297;260;132;123;0;88;79.8166;62;39;34;0;0;8.92;8.84;8.99;8.97;9;8.98;8.913043478;0;10.20881671;9.710048662;9.309309309;10.02570694;10.0591716;0;0
1804 - Kab. Lampung Timur;413;377;603;508;409;189;337.3;369.5;299.5;312.3;265.7;368.1;200.8;0;0;370;330;541;455;368;170;302;0;419;299.4014;61;333.2;196.1;0;0;8.96;8.75;8.97;8.96;9;8.99;8.961424332;0;13.98998331;9.586980467;2.295822356;9.051888074;9.765936255;0;0
1805 - Kab. Lampung Tengah;982;770;699;651;346;242;206.4;205.7;164.7;147.7;120;259.8;135.1;0;0;880;688;627;584;310;217;185;0;164;141.8301;61;236.5;129.1;0;0;8.96;8.94;8.97;8.97;8.96;8.97;8.980582524;0;9.957498482;9.602579553;5.083333333;9.103156274;9.55588453;0;0
1806 - Kab. Lampung Utara;808;681;571;498;454;245;216.9;91.9;120;94;176.7;77;47.2;0;0;724;627;514;449;409;220;195;0;112;90.132;158.2;39.2;37.7;0;0;8.96;9.21;9;9.02;9.01;8.98;8.986175115;0;9.333333333;9.588510638;8.953027731;5.090909091;7.987288136;0;0
1807 - Kab. Way Kanan;639;1040;778;441;393;450;225.8;146;101;34.7;39;54;6.8;0;0;572;970;699;397;355;405;203;0;87;33.6426;30;32.7;7;0;0;8.95;9.33;8.98;9;9.03;9;8.982300885;0;8.613861386;9.695273775;7.692307692;6.055555556;10.29411765;0;0
1808 - Kab. Tulang Bawang;80;58;58;62;64;67;59;60;86;68;58;90;38;0;0;72;53;52;55;58;60;53;0;89;65.814;38.9;88;47.4;0;0;9;9.14;8.97;8.87;9.06;8.96;8.983050847;0;10.34883721;9.678529412;6.706896552;9.777777778;12.47368421;0;0
